"id","label","type","factor_level_label","factor_label","species","variety","accession","germplasm_label"
"http://opensilex.test/id/scientific-object/so-sp004001","SP004001","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004002","SP004002","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004003","SP004003","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004004","SP004004","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004005","SP004005","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004006","SP004006","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004007","SP004007","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004008","SP004008","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004009","SP004009","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004010","SP004010","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004011","SP004011","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004012","SP004012","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004013","SP004013","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004014","SP004014","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004015","SP004015","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004016","SP004016","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004017","SP004017","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004018","SP004018","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004019","SP004019","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004020","SP004020","Plant","Healthy","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004021","SP004021","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano"
